"poIDs","Mtn","elevation","SR","Vol","FEve","FDis","PD","PEve","MPD","SES.Vol","SES.FEve","SES.FDis","SES.PD","SES.PEve","SES.MPD","elev_scaled","Lon","Lat","temp.10min","temp.0.5deg","temp.1deg","prec.10min","prec.0.5deg","prec.1deg","AI.30sec","AI.10min","AI.0.5deg","AI.1deg","Novel_or_update","Previous_use","Method_simple","DataSource","EffortGrade","Biome","Location","Latitude","Longitude","Aridity","Mtn_Height_m","Mtn_Base_m","Elev_range_sampled_m","Elev_coverage","n_100m_bins","bin_extent","bin_min","bin_max","extent_sum","U800g_SR_NativeRodents","U800g_min_SR_per_bin","U800g_max_SR_per_bin","apparent_pattern","Aridity_AI.5deg.Cat","Aridity_.5deg","elev_scaledGlob","LatitudeAbs_scaled","aridity_scaled","elev_norm","elev_normScaledGlob"
862,"Tucuman",4000,4,0.00974124651650024,0.765125495742814,0.108119455383184,153.997202647456,0.323920584210923,78.3611831234191,-0.738118648349484,-0.102777238904399,-1.43941345035203,0.411467886245599,-1.69651637435566,0.32060696714908,1.49694811484453,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",2.15971344076807,-0.270593156214642,-0.27380267019468,0.948717948717949,1.47551400486198
864,"Tucuman",4200,4,0.00435867982667416,0.796369850698448,0.0911791374232023,52.1414308517265,0.721421955465183,27.4332972255542,-1.15225243607083,0.11761350940635,-2.10067815106659,-1.66274838909893,0.555950864687455,-1.60128664193787,1.66802789939819,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",2.39115774688289,-0.270593156214642,-0.27380267019468,1,1.64438380971127
827,"Tucuman",500,15,0.069311217357609,0.914429447237233,0.166295814409259,298.372691604534,0.649082478127921,68.9579355759696,0.395221025546445,-0.303505811672249,0.307002282535602,-1.05771676677219,-1.610820529827,0.0216641083673373,-1.49694811484453,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.89056191624129,-0.270593156214642,-0.27380267019468,0.0512820512820513,-1.47970758000064
828,"Tucuman",600,16,0.069311217357609,0.919775810119909,0.171766154211634,300.542350703332,0.631784485935351,74.5761719972145,0.139761736786904,-0.286329554497017,0.798724668574062,-1.48397561608907,-2.3994052820817,0.713256935068326,-1.4114082225677,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.77483976318388,-0.270593156214642,-0.27380267019468,0.0769230769230769,-1.39527267757599
829,"Tucuman",700,15,0.0719359492552651,0.910259254244225,0.176854175322156,288.612567263115,0.616352453121516,76.3554899809174,0.645973329184389,-0.579739196852153,1.39077073561081,-1.87556882878877,-3.19713378814651,0.923940647718373,-1.32586833029087,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.65911761012647,-0.270593156214642,-0.27380267019468,0.102564102564103,-1.31083777515135
830,"Tucuman",800,15,0.0719359492552651,0.910259254244225,0.176854175322156,288.612567263115,0.616352453121516,76.3554899809174,0.639872200480869,-0.579794820864655,1.28597898565977,-1.75302361977938,-3.00382156357782,0.914559679290944,-1.24032843801404,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.54339545706906,-0.270593156214642,-0.27380267019468,0.128205128205128,-1.2264028727267
831,"Tucuman",900,16,0.0720136225673334,0.920174624645565,0.180959608437772,304.517454230926,0.641322448478561,81.2054752696963,0.414527314116177,-0.235160907654136,1.70913592335251,-1.283800208562,-1.94609362046419,1.57287740209564,-1.15478854573721,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.42767330401165,-0.270593156214642,-0.27380267019468,0.153846153846154,-1.14196797030206
832,"Tucuman",1000,15,0.0719359492552651,0.910259254244225,0.176854175322156,288.612567263115,0.616352453121516,76.3554899809174,0.687824615775164,-0.576733644872497,1.40143976316033,-1.71189928570849,-2.98219730242801,0.951803309807088,-1.06924865346038,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.31195115095424,-0.270593156214642,-0.27380267019468,0.179487179487179,-1.05753306787741
833,"Tucuman",1100,14,0.0719359492552651,0.904733875542221,0.16959404259752,295.053690782256,0.663623997200159,71.2745402561495,0.867421744208014,-0.380597845973363,0.584508961339429,-0.489100572974216,-0.916646287512256,0.257106801653896,-0.983708761183547,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.19622899789683,-0.270593156214642,-0.27380267019468,0.205128205128205,-0.973098165452764
834,"Tucuman",1200,16,0.0715370837042409,0.935824591278654,0.17076472275355,333.28318435724,0.717062603989109,75.9220996855389,0.411130066428338,1.09628894205034,0.688038667338125,0.731038191236827,1.28306567776189,0.938589251194969,-0.898168868906717,-65.5,-27,19.9,20.03333333,18.83055556,96.2,92.81111111,74.6,0.5357,0.5513,0.533666667,0.429347222,"novel","none","Gamma","records compilation","Medium","Subtropical","continental",-27,-65.5,"dry",5500,300,4100,0.79,41,"0300-4399",300,4399,4100,32,1,18,"low-mid peak","HumidSub","dry",-1.08050684483942,-0.270593156214642,-0.27380267019468,0.230769230769231,-0.888663263028117
