Lon,Lat,temp.10min,temp.0.5deg,temp.1deg,prec.10min,prec.0.5deg,prec.1deg,AI.30sec,AI.10min,AI.0.5deg,AI.1deg,Mtn,Novel_or_update,Previous_use,Method_simple,DataSource,EffortGrade,Biome,Location,Latitude,Longitude,Aridity,Mtn_Height_m,Mtn_Base_m,Elev_range_sampled_m,Elev_coverage,n_100m_bins,bin_extent,bin_min,bin_max,extent_sum,U800g_SR_NativeRodents,U800g_min_SR_per_bin,U800g_max_SR_per_bin,apparent_pattern,Aridity_AI.5deg.Cat
-109.79,37.85,7.9,8.555555556,10.22222222,37.4,35.62222222,29.51388889,0.2837,0.1757,0.182166667,0.150330556,Abajo,legacy,2005 and 2009,Gamma,records compilation,Medium,Temperate,continental,37.85,-109.79,dry,3463,1600,1675,0.9,18,1600-3399,1600,3399,1800,15,2,8,midpeak,Arid
101.32,24.35,16.2,17.54444444,17.97222222,104.6,104.7333333,96.99166667,0.8238,0.7005,0.756288889,0.705169444,AilaoE,novel,none,Alpha,transect,Medium,Tropical,continental,24.35,101.32,dry,2850,1400,1050,0.72,11,1800-2899,1800,2899,1100,18,6,15,high-mid peak,Humidx
101.25,24.26,15.2,17.54444444,17.97222222,111.4,104.7333333,96.99166667,0.8705,0.77,0.756288889,0.705169444,AilaoW,novel,none,Alpha,transect,Medium,Tropical,continental,24.26,101.25,wet,2850,1400,1050,0.72,11,1800-2899,1800,2899,1100,14,5,11,midpeak,Humidx
-108.78,31.58,13.3,14.7,15.38611111,41.8,34.63333333,32.53888889,0.2635,0.1786,0.139966667,0.138566667,Animas,novel,none,Gamma,combo,Medium,Subtropical,continental,31.58,-108.78,dry,2597,1490,1101,0.99,12,1400-2599,1400,2599,1200,28,6,25,low-mid peak,Arid
-111.68,38.08,2.4,4.055555556,6.155555556,47,37.18888889,31.11944444,0.325,0.2163,0.219366667,0.168972222,AquariusPlateau,update,2005 and 2009,Gamma,combo,High,Temperate,continental,38.08,-111.68,dry,3448,1571,1798,0.96,18,1600-3399,1600,3399,1800,26,8,15,midpeak,AridSemi
99.37,27.65,11.2,8.722222222,8.602777778,96.5,90.77777778,93.09722222,0.7555,0.7949,0.772966667,0.775119444,BaimaSnow,novel,none,Alpha,transect,Medium,Subtropical,continental,27.65,99.37,wet,4200,2400,1470,0.82,15,2500-3999,2500,3999,1500,14,7,11,weak midpeak,Humidx
-95.8,16.6,18.1,20.7,23.50857143,121.6,132.9777778,106.2114286,0.6718,0.3851,0.530411111,0.481897222,CerroPL,novel,none,Alpha,transect,Low,Tropical,continental,16.6,-95.8,dry,2800,300,2300,0.92,23,0300-2599,300,2599,2300,15,2,8,linear positive,HumidSub
-109.31,31.85,11.5,13.9,15.58333333,55.6,43.66666667,37.74722222,0.3201,0.2481,0.184355556,0.161541667,Chiricahua,novel,none,Gamma,records compilation,Low,Subtropical,continental,31.85,-109.31,dry,2985,1188,1797,1,17,1100-2799,1100,2799,1700,32,6,28,low-mid peak,Arid
-113.91,39.85,5.2,8.522222222,9.211111111,39.3,24.13333333,22.7,0.4191,0.3233,0.1214,0.107208333,DeepCreek,legacy,2005 and 2009,Gamma,records compilation,Medium,Temperate,continental,39.85,-113.91,dry,3688,1288,1725,0.72,18,1300-3099,1300,3099,1800,22,2,15,midpeak,Arid
-105.5,40.2,4.8,7.5,3.977777778,44.7,41.02222222,49.49444444,0.3386,0.2723,0.2564,0.354605556,FrontRange,novel,none,Gamma,combo,High,Temperate,continental,40.2,-105.5,dry,3800,1438,2237,0.95,23,1500-3799,1500,3799,2300,24,3,16,low-mid peak,AridSemi
102.03,29.58,8.4,9.022222222,11.16944444,96.5,97.45555556,105.7138889,1.0107,0.7901,0.860177778,0.927997222,Gongga,legacy,Guo 2013,Alpha,transect,High,Subtropical,continental,29.58,102.03,dry,4200,1000,2800,0.88,29,1200-4099,1200,4099,2900,15,3,11,low-mid peak,Humidx
-110.79,38.08,7.3,10.73333333,10.5,32,19.1,20.06111111,0.3328,0.096,0.087177778,0.104716667,Henry,legacy,2005 and 2009 best,Gamma,records compilation,Low,Temperate,continental,38.08,-110.79,dry,3514,1525,1615,0.81,17,1500-3199,1500,3199,1700,16,3,12,decr plateau or midpeak,Arid
-44.63,-22.37,17.4,16.38888889,18.25277778,170.6,172.7555556,157.4527778,2.111,1.1424,1.227333333,1.20205,Itatiaia,legacy,Guo 2013,Gamma,combo,Low,Tropical,continental,-22.37,-44.63,wet,2791,400,1999,0.84,20,0400-2399,400,2399,2000,21,1,13,bimodal,HyperHumid
102.64,30.95,2.5,4.9,6.366666667,99,100.2444444,100.3805556,0.7044,0.9469,0.955333333,0.918366667,JiajinN,novel,none,Alpha,transect,Medium,Subtropical,continental,30.95,102.64,dry,4400,2400,1500,0.75,16,2400-3999,2400,3999,1600,10,2,10,midpeak,Humidx
102.85,30.628,9,4.9,6.366666667,100.5,100.2444444,100.3805556,0.8994,0.9382,0.955333333,0.918366667,JiajinS,novel,none,Alpha,transect,Medium,Subtropical,continental,30.628,102.85,wet,4400,1500,2200,0.76,23,1500-3799,1500,3799,2300,14,1,11,midpeak,Humidx
116.56,6.08,17.3,23.63333333,25.64285714,212.6,235.2666667,234.2821429,4.7578,1.4485,1.498088889,1.442517857,KinabaluNP,update,2005 and 2009,Gamma,combo,Medium,Tropical,island,6.08,116.56,wet,4101,0,3466,0.85,35,0000-3499,0,3499,3500,36,2,26,decr plateau or midpeak,HyperHumid
