Sp_Name,SpName,id,order,family,subfamily,tribe,genus,specificEpithet,CMW_sciName,MSW3_sciName,SynonymUsedMDD,X,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,SynonymMatched,Phylo_Name,PhyloName
Abrocoma_cinerea,Abrocoma cinerea,1001298,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,cinerea,Abrocoma cinerea,Abrocoma cinerea,NA,1,Abrocoma_cinerea_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Guinea_pig-related,Euarchontoglires,Abrocoma_cinerea,5,0,sampled,PC14_GuineaPigRelated,NA,Abrocoma_cinerea,Abrocoma cinerea
Abrothrix_andinus,Abrothrix andinus,1002371,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,andina,Abrothrix andina,Abrothrix andina,Abrothrix andina,2,Abrothrix_andinus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_andinus,6,0,sampled,PC12_Cricetidae,NA,Abrothrix_andinus,Abrothrix andinus
Abrothrix_illuteus,Abrothrix illuteus,1002373,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,illutea,Abrothrix illutea,Abrothrix illutea,Abrothrix illutea,3,Abrothrix_illuteus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Abrothrix_illuteus,2,0,sampled,PC12_Cricetidae,NA,Abrothrix_illuteus,Abrothrix illuteus
Akodon_aerosus,Akodon aerosus,1002388,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,aerosus,Akodon aerosus,Akodon aerosus,NA,6,Akodon_aerosus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_aerosus,5,0,sampled,PC12_Cricetidae,NA,Akodon_aerosus,Akodon aerosus
Akodon_caenosus,Akodon caenosus,1002395,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,caenosus,Akodon caenosus,Akodon aliquantulus,NA,388,Akodon_aliquantulus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_aliquantulus,0,0,imputed,PC12_Cricetidae,Akodon_aliquantulus,Akodon_aliquantulus,Akodon aliquantulus
Akodon_cursor,Akodon cursor,1002396,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,cursor,Akodon cursor,Akodon cursor,NA,7,Akodon_cursor_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_cursor,5,0,sampled,PC12_Cricetidae,NA,Akodon_cursor,Akodon cursor
Akodon_montensis,Akodon montensis,1002409,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,montensis,Akodon montensis,Akodon montensis,NA,8,Akodon_montensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_montensis,6,0,sampled,PC12_Cricetidae,NA,Akodon_montensis,Akodon montensis
Akodon_paranaensis,Akodon paranaensis,1002413,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,paranaensis,Akodon paranaensis,Akodon paranaensis,NA,9,Akodon_paranaensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_paranaensis,3,0,sampled,PC12_Cricetidae,NA,Akodon_paranaensis,Akodon paranaensis
Akodon_serrensis,Akodon serrensis,1002436,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Castoria,angustidens,Castoria angustidens,Castoria angustidens,Castoria angustidens,10,Akodon_serrensis_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_serrensis,2,0,sampled,PC12_Cricetidae,NA,Akodon_serrensis,Akodon serrensis
Akodon_simulator,Akodon simulator,1002420,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,simulator,Akodon simulator,Akodon simulator,NA,11,Akodon_simulator_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_simulator,1,0,sampled,PC12_Cricetidae,NA,Akodon_simulator,Akodon simulator
Akodon_spegazzinii,Akodon spegazzinii,1002421,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,spegazzinii,Akodon spegazzinii,Akodon spegazzinii,NA,12,Akodon_spegazzinii_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_spegazzinii,3,0,sampled,PC12_Cricetidae,NA,Akodon_spegazzinii,Akodon spegazzinii
Akodon_subfuscus,Akodon subfuscus,1002422,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,subfuscus,Akodon subfuscus,Akodon subfuscus,NA,13,Akodon_subfuscus_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_subfuscus,1,0,sampled,PC12_Cricetidae,NA,Akodon_subfuscus,Akodon subfuscus
Akodon_torques,Akodon torques,1002426,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,torques,Akodon torques,Akodon torques,NA,14,Akodon_torques_CRICETIDAE_RODENTIA,Akodon,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Akodon_torques,7,0,sampled,PC12_Cricetidae,NA,Akodon_torques,Akodon torques
Ammospermophilus_harrisii,Ammospermophilus harrisii,1001707,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Ammospermophilus,harrisii,Ammospermophilus harrisii,Ammospermophilus harrisii,NA,15,Ammospermophilus_harrisii_SCIURIDAE_RODENTIA,Ammospermophilus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Ammospermophilus_harrisii,2,0,sampled,PC13_SquirrelRelated,NA,Ammospermophilus_harrisii,Ammospermophilus harrisii
Ammospermophilus_leucurus,Ammospermophilus leucurus,1001709,RODENTIA,SCIURIDAE,XERINAE,MARMOTINI,Ammospermophilus,leucurus,Ammospermophilus leucurus,Ammospermophilus leucurus,NA,16,Ammospermophilus_leucurus_SCIURIDAE_RODENTIA,Ammospermophilus,SCIURIDAE,RODENTIA,Squirrel-related,Euarchontoglires,Ammospermophilus_leucurus,1,0,sampled,PC13_SquirrelRelated,NA,Ammospermophilus_leucurus,Ammospermophilus leucurus
Andinomys_edax,Andinomys edax,1002476,RODENTIA,CRICETIDAE,SIGMODONTINAE,ANDINOMYINI,Andinomys,edax,Andinomys edax,Andinomys edax,NA,17,Andinomys_edax_CRICETIDAE_RODENTIA,Andinomys,CRICETIDAE,RODENTIA,Mouse-related,Euarchontoglires,Andinomys_edax,6,0,sampled,PC12_Cricetidae,NA,Andinomys_edax,Andinomys edax
