,Sp_Name,SpName,MDD_id,order,family,subfamily,tribe,genus,specificEpithet,CMW_sciName,MSW3_sciName.x,CheekPouch,CheekPouchSource,SynonymUsedMDD,MSW3_sciName.y,MSW3_ID,MSWFamilyLatin,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,DietFillSource,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,ActivityFillSource,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel,SynonymUsedElt,Order,Family,Genus,Body_mass_g,MassFillSource,Adult_svl_cm,Litter_clutch_size,Diel_activity,Habitat_breadth_IUCN,Forest,Savanna,Shrubland,Grassland,Wetland,Rocky.areas,Caves.and.subterranean,Desert,Marine,Marine.intertidal.or.coastal.supratidal,Artificial,Introduced.vegetation,Other.Unknown,HabitatFillSource,SynonymUsedEtard,HBL,TL,HFL,EL,WT,RTL,RHFL,REL,ExtMsmtsFillSource,Habitat,H.source,Life.mode,Life.modeFillSource,Saltation,SaltationFillSource,SynonymUsedAlhajeri,,,
1,Abrocoma_cinerea,Abrocoma cinerea,1001298,RODENTIA,ABROCOMIDAE,NA,NA,Abrocoma,cinerea,Abrocoma cinerea,Abrocoma cinerea,0,,NA,Abrocoma cinerea,3089,Abrocomidae,0,0,0,0,0,0,0,0,0,100,,Ref_1,ABC,G,A,1,0,0,,Ref_1,ABC,250,Ref_117,1,,RODENTIA,ABROCOMIDAE,Abrocoma,221.82,,20.1,2.0925,Nocturnal,2,0,0,0,1,0,1,0,0,0,0,0,0,0,,,174,61,26,24,NA,0.35,0.15,0.14,,Rocky Areas,Map,Terrestrial,,S0,,,,,
2,Abrothrix_andinus,Abrothrix andinus,1002371,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,andina,Abrothrix andina,Abrothrix andina,0,,Abrothrix andina,Abrothrix andina,1659,Cricetidae,30,0,0,0,0,0,0,0,0,70,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,24.91,Ref_58,1,,RODENTIA,CRICETIDAE,Abrothrix,29.78,,14,NA,Nocturnal,2,0,0,1,1,0,0,0,0,0,0,0,0,0,,,89,61,21,15,21,0.69,0.24,0.17,,Rocky Areas,Map,Terrestrial,,S0,,,,,
3,Abrothrix_illuteus,Abrothrix illuteus,1002373,RODENTIA,CRICETIDAE,SIGMODONTINAE,ABROTHRICHINI,Abrothrix,illutea,Abrothrix illutea,Abrothrix illutea,0,,Abrothrix illutea,Abrothrix illutea,1665,Cricetidae,30,0,0,0,0,0,0,0,0,70,,Ref_2,D1,G,A,1,1,1,,Ref_1,ABC,47.79,Ref_58,1,,RODENTIA,CRICETIDAE,Abrothrix,47.79,,14,NA,Nocturnal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,,122,78,26,18,NA,0.64,0.21,0.15,IR,Forest,IUCN,Terrestrial,,S0,,Abrothrix illutea,,,
6,Akodon_aerosus,Akodon aerosus,1002388,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,aerosus,Akodon aerosus,Akodon aerosus,0,,NA,Akodon aerosus,1670,Cricetidae,80,0,0,0,0,0,0,0,0,20,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,60,Ref_117,1,,RODENTIA,CRICETIDAE,Akodon,59.99,,14,5,Nocturnal,4,1,0,0,1,0,0,0,0,0,0,1,0,0,,,109,78,23,17,32,0.72,0.21,0.16,,Forest,Map,Terrestrial,,S0,,,,,
7,Akodon_caenosus,Akodon caenosus,1002395,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,caenosus,Akodon caenosus,Akodon aliquantulus,0,,NA,Akodon aliquantulus,1691,Cricetidae,70,0,0,0,0,0,0,0,0,30,,Ref_2,D1,G,A,1,1,1,,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,Akodon aliquantulus,RODENTIA,CRICETIDAE,Akodon,26.725,,14,4.18,Nocturnal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,Akodon aliquantulus,86,60,23,14,NA,0.7,0.27,0.16,,Grassland,IUCN,Terrestrial,,S0,,,,,
8,Akodon_cursor,Akodon cursor,1002396,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,cursor,Akodon cursor,Akodon cursor,0,,NA,Akodon cursor,1687,Cricetidae,80,0,0,0,0,0,0,0,0,20,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,39.85,Ref_117,1,,RODENTIA,CRICETIDAE,Akodon,39.84,,14,3,Nocturnal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,120,96,26,19,49,0.8,0.22,0.16,,Forest,IUCN,Terrestrial,,S0,,,,,
9,Akodon_montensis,Akodon montensis,1002409,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,montensis,Akodon montensis,Akodon montensis,0,,NA,Akodon montensis,1677,Cricetidae,70,0,0,0,0,0,0,0,0,30,,Ref_2,D1,G,A,1,1,1,,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,RODENTIA,CRICETIDAE,Akodon,34.65,,10.75,3,Nocturnal,5,1,1,0,0,1,0,0,0,0,0,0,0,0,,,110,89,25,19,40,0.81,0.23,0.17,,Forest,Map,Terrestrial,,S0,,,,,
10,Akodon_paranaensis,Akodon paranaensis,1002413,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,paranaensis,Akodon paranaensis,Akodon paranaensis,0,,NA,Akodon paranaensis,1683,Cricetidae,70,0,0,0,0,0,0,0,0,30,,Ref_2,D1,G,A,1,1,1,,Ref_1,ABC,31.32,"Ref_2, Ref_3",0,,RODENTIA,CRICETIDAE,Akodon,31.32,,11.7985,NA,Nocturnal,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,106,76,23,17,NA,0.72,0.22,0.16,,Forest,IUCN,Terrestrial,,S0,,,,,
11,Akodon_serrensis,Akodon serrensis,1002436,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Castoria,angustidens,Castoria angustidens,Castoria angustidens,0,,Castoria angustidens,Castoria angustidens,1705,Cricetidae,80,0,0,0,0,0,0,0,0,20,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,28.3,Ref_117,1,,RODENTIA,CRICETIDAE,Akodon,28.3,,11.7985,NA,Nocturnal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,95,86,27,17,28,0.91,0.28,0.18,,Forest,IUCN,Terrestrial,,S0,,,,,
12,Akodon_simulator,Akodon simulator,1002420,RODENTIA,CRICETIDAE,SIGMODONTINAE,AKODONTINI,Akodon,simulator,Akodon simulator,Akodon simulator,0,,NA,Akodon simulator,1703,Cricetidae,80,0,0,0,0,0,0,0,0,20,,Ref_1,ABC,G,A,1,1,1,,Ref_1,ABC,42.5,Ref_117,1,,RODENTIA,CRICETIDAE,Akodon,41.25,,14,3,Nocturnal,3,1,0,1,1,0,0,0,0,0,0,0,0,0,,,110,81,25,18,36,0.74,0.23,0.16,,Forest,Map,Terrestrial,,S0,,,,,
